TEAM,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
CHA,W,240,118,43,84,51.2,10,21,47.6,22,33,66.7,9,40,49,21,9,4,15,11
CHI,W,240,119,42,88,47.7,16,39,41,19,22,86.4,7,38,45,27,6,2,9,23
ATL,W,240,102,40,86,46.5,9,25,36,13,14,92.9,11,39,50,23,8,2,15,23
MIL,W,240,104,38,81,46.9,8,16,50,20,29,69,15,29,44,21,14,6,17,25
GSW,W,240,118,41,85,48.2,12,32,37.5,24,30,80,13,35,48,33,8,6,16,23
PHI,W,241,117,40,81,49.4,6,25,24,31,38,81.6,10,38,48,22,8,9,21,28
IND,W,241,109,41,77,53.2,14,26,53.8,13,15,86.7,8,35,43,26,7,2,14,18
MIA,W,240,97,35,76,46.1,11,29,37.9,16,20,80,3,46,49,23,8,8,13,18
NOP,W,265,123,45,95,47.4,9,32,28.1,24,34,70.6,12,34,46,19,17,7,19,17
MIN,W,241,120,43,80,53.8,7,19,36.8,27,33,81.8,7,31,38,21,12,3,11,17
IND,W,240,120,48,88,54.5,11,23,47.8,13,14,92.9,8,34,42,20,9,1,6,22
LAL,W,265,107,43,95,45.3,8,26,30.8,13,18,72.2,11,48,59,24,4,0,14,31
OKC,W,239,101,39,97,40.2,8,26,30.8,15,20,75,19,38,57,17,8,9,9,22
CHI,W,239,107,42,87,48.3,17,36,47.2,6,9,66.7,6,34,40,27,10,8,14,11
SAS,W,238,112,41,79,51.9,14,27,51.9,16,18,88.9,6,37,43,23,9,3,15,17
LAC,W,240,126,46,82,56.1,12,31,38.7,22,26,84.6,5,34,39,29,11,5,15,22
GSW,W,239,127,47,81,58,9,24,37.5,24,28,85.7,3,27,30,28,4,3,6,20
WAS,W,265,119,46,93,49.5,10,23,43.5,17,23,73.9,6,41,47,31,10,3,15,19
MIN,W,240,118,49,95,51.6,10,27,37,10,16,62.5,16,27,43,33,12,4,12,12
IND,W,239,97,39,85,45.9,10,21,47.6,9,12,75,6,38,44,16,5,4,14,18
DEN,W,240,87,27,70,38.6,7,22,31.8,26,32,81.3,12,35,47,15,8,3,14,18
HOU,W,241,112,39,94,41.5,15,47,31.9,19,22,86.4,14,39,53,18,11,4,11,14
NOP,W,241,119,45,82,54.9,7,19,36.8,22,23,95.7,9,34,43,26,7,6,18,16
WAS,W,240,125,54,95,56.8,4,16,25,13,19,68.4,14,27,41,26,9,6,11,22
GSW,W,240,108,44,79,55.7,5,15,33.3,15,18,83.3,10,33,43,28,7,3,11,13
CHA,W,241,99,32,78,41,9,27,33.3,26,34,76.5,8,38,46,17,8,2,12,19
BKN,W,240,110,40,87,46,13,34,38.2,17,26,65.4,13,30,43,29,8,1,14,24
LAL,W,240,93,36,87,41.4,13,38,34.2,8,14,57.1,12,35,47,22,15,4,15,17
LAC,W,241,121,43,84,51.2,13,31,41.9,22,30,73.3,8,31,39,28,9,5,17,19
BOS,W,240,114,43,89,48.3,13,35,37.1,15,19,78.9,11,35,46,24,11,2,18,18
TOR,W,242,133,53,106,50,18,42,42.9,9,13,69.2,18,45,63,31,3,7,9,25
DET,W,240,114,48,93,51.6,10,21,47.6,8,12,66.7,11,43,54,24,10,4,13,14
MIA,W,240,114,43,81,53.1,13,30,43.3,15,21,71.4,6,31,37,25,6,6,15,25
MIN,W,241,104,39,80,48.8,7,20,35,19,27,70.4,11,34,45,22,11,5,14,22
DAL,W,240,115,39,83,47,15,36,41.7,22,28,78.6,3,36,39,23,7,7,8,22
UTA,W,240,107,43,92,46.7,11,33,33.3,10,13,76.9,11,28,39,23,15,3,12,17
HOU,W,240,121,45,100,45,12,38,31.6,19,25,76,17,32,49,25,7,5,13,30
MIL,W,241,110,45,82,54.9,4,19,21.1,16,25,64,11,36,47,20,4,9,14,21
ATL,W,239,110,40,80,50,12,27,44.4,18,18,100,6,38,44,25,6,4,16,23
CHI,W,289,122,45,98,45.9,15,33,45.5,17,20,85,10,38,48,21,10,5,16,19
MEM,W,241,105,37,88,42,5,19,26.3,26,32,81.3,14,36,50,21,7,5,9,26
LAC,W,240,125,46,94,48.9,11,24,45.8,22,28,78.6,11,35,46,24,9,3,14,19
MIA,W,239,90,39,97,40.2,4,22,18.2,8,10,80,20,44,64,18,2,14,13,19
LAL,W,239,99,37,77,48.1,12,35,34.3,13,21,61.9,9,46,55,30,12,4,25,23
POR,W,240,117,43,81,53.1,10,23,43.5,21,26,80.8,8,34,42,19,10,2,15,20
DAL,W,241,114,43,83,51.8,9,26,34.6,19,22,86.4,5,33,38,27,6,2,4,22
LAC,W,240,108,38,85,44.7,9,18,50,23,34,67.6,14,33,47,16,10,9,16,25
NOP,W,241,112,46,82,56.1,6,22,27.3,14,21,66.7,9,32,41,31,7,9,16,18
SAS,W,239,107,44,90,48.9,11,26,42.3,8,13,61.5,8,29,37,23,11,4,10,12
IND,W,241,109,44,79,55.7,7,22,31.8,14,20,70,8,32,40,30,9,5,16,23
TOR,W,265,114,43,101,42.6,10,34,29.4,18,23,78.3,8,43,51,19,7,12,15,27
MIN,W,239,127,52,100,52,10,31,32.3,13,17,76.5,15,41,56,30,6,2,5,17
HOU,W,240,116,39,86,45.3,20,54,37,18,24,75,11,40,51,28,6,6,16,14
GSW,W,239,124,48,85,56.5,13,30,43.3,15,21,71.4,10,33,43,33,7,10,16,15
MIA,W,240,103,40,83,48.2,9,29,31,14,20,70,8,29,37,21,6,6,8,16
LAL,W,240,132,48,86,55.8,16,36,44.4,20,25,80,6,43,49,32,13,6,18,25
POR,W,240,111,48,92,52.2,8,23,34.8,7,10,70,9,29,38,19,7,5,9,24
NYK,W,239,100,38,83,45.8,6,16,37.5,18,20,90,10,49,59,22,4,6,16,23
PHX,W,241,114,39,88,44.3,17,39,43.6,19,23,82.6,12,31,43,24,6,6,7,19
MIL,W,240,110,39,80,48.8,7,22,31.8,25,30,83.3,10,35,45,20,11,6,15,26
GSW,W,242,121,39,94,41.5,13,39,33.3,30,37,81.1,14,40,54,31,13,10,16,25
MIN,W,241,116,44,90,48.9,9,18,50,19,21,90.5,13,34,47,26,10,5,9,20
BOS,W,239,87,37,98,37.8,5,18,27.8,8,15,53.3,12,32,44,12,8,13,4,17
SAC,W,239,106,42,94,44.7,9,25,36,13,17,76.5,10,29,39,21,16,4,9,22
CLE,W,239,131,47,94,50,15,34,44.1,22,31,71,14,31,45,25,11,2,17,26
IND,W,240,125,48,86,55.8,15,31,48.4,14,18,77.8,10,39,49,24,9,4,12,19
DET,W,240,108,38,75,50.7,12,25,48,20,27,74.1,5,30,35,21,8,4,11,15
CHI,W,241,127,44,78,56.4,14,28,50,25,31,80.6,8,34,42,25,9,3,18,19
MIA,W,264,107,38,94,40.4,12,42,28.6,19,20,95,15,29,44,24,10,5,14,19
PHI,W,239,114,44,90,48.9,14,30,46.7,12,13,92.3,13,42,55,29,5,4,12,17
POR,W,240,110,43,80,53.8,13,30,43.3,11,14,78.6,6,38,44,30,11,5,15,20
WAS,W,240,102,33,84,39.3,10,27,37,26,34,76.5,12,36,48,21,7,7,13,23
DEN,W,240,99,38,86,44.2,14,35,40,9,15,60,4,33,37,24,9,1,10,11
SAS,W,239,103,41,87,47.1,11,30,36.7,10,18,55.6,7,37,44,21,15,6,15,16
TOR,W,241,129,48,86,55.8,10,33,30.3,23,28,82.1,12,31,43,25,9,5,11,22
CHA,W,241,108,42,99,42.4,12,33,36.4,12,16,75,16,40,56,26,10,3,14,17
BOS,W,242,91,38,94,40.4,6,36,16.7,9,13,69.2,17,39,56,24,6,4,10,22
OKC,W,240,127,51,95,53.7,15,34,44.1,10,14,71.4,11,35,46,23,4,6,13,23
GSW,W,241,124,48,87,55.2,13,30,43.3,15,20,75,6,39,45,35,6,6,12,18
OKC,W,240,133,56,93,60.2,14,30,46.7,7,9,77.8,7,37,44,36,12,5,9,17
HOU,W,240,116,42,89,47.2,15,34,44.1,17,21,81,9,42,51,25,6,3,15,19
PHI,W,240,112,36,80,45,7,22,31.8,33,43,76.7,13,32,45,23,10,5,13,21
NOP,W,240,108,41,82,50,14,30,46.7,12,12,100,7,35,42,23,8,2,20,18
BKN,W,241,98,37,72,51.4,14,30,46.7,10,11,90.9,4,34,38,22,3,3,19,23
TOR,W,240,124,45,92,48.9,15,38,39.5,19,19,100,7,42,49,23,9,5,11,20
MIA,W,241,111,43,84,51.2,17,34,50,8,11,72.7,7,34,41,29,6,3,12,16
BOS,W,242,102,41,92,44.6,12,36,33.3,8,11,72.7,9,43,52,27,9,2,15,20
GSW,W,240,125,48,91,52.7,13,32,40.6,16,19,84.2,7,39,46,36,8,7,14,21
MIL,W,241,122,44,75,58.7,9,17,52.9,25,28,89.3,6,28,34,33,8,5,16,23
WAS,W,240,121,48,81,59.3,9,23,39.1,16,26,61.5,6,36,42,27,9,5,12,21
DEN,W,240,134,51,82,62.2,12,27,44.4,20,22,90.9,8,40,48,35,8,9,20,16
CHA,W,240,131,51,89,57.3,15,32,46.9,14,18,77.8,5,25,30,25,7,3,3,14
LAC,W,241,113,39,71,54.9,9,23,39.1,26,31,83.9,4,30,34,23,5,3,19,24
CLE,W,241,127,43,83,51.8,13,32,40.6,28,37,75.7,8,32,40,28,11,4,10,17
SAS,W,241,100,31,82,37.8,10,27,37,28,34,82.4,14,36,50,18,11,5,8,17
PHX,W,240,104,39,77,50.6,7,22,31.8,19,26,73.1,11,36,47,24,7,4,21,22
TOR,W,264,131,45,91,49.5,14,33,42.4,27,33,81.8,6,34,40,25,8,8,12,20
POR,W,266,124,47,108,43.5,14,33,42.4,16,18,88.9,12,38,50,25,7,5,8,16
BKN,W,240,98,36,82,43.9,9,25,36,17,23,73.9,10,42,52,17,7,10,13,22
MIN,W,239,114,40,81,49.4,7,20,35,27,30,90,7,34,41,26,14,5,17,24
BOS,W,241,108,39,79,49.4,14,33,42.4,16,25,64,8,42,50,21,7,8,17,22
DAL,W,240,116,46,89,51.7,15,34,44.1,9,14,64.3,8,28,36,26,5,5,7,18
PHI,W,240,123,43,77,55.8,10,24,41.7,27,34,79.4,11,33,44,24,11,7,21,32
HOU,W,290,148,49,106,46.2,18,52,34.6,32,39,82.1,15,28,43,29,7,9,11,33
WAS,W,240,114,43,93,46.2,16,36,44.4,12,17,70.6,12,35,47,27,6,8,10,24
LAC,W,241,106,36,76,47.4,10,28,35.7,24,27,88.9,6,36,42,24,9,5,16,21
MIN,W,241,107,41,86,47.7,4,19,21.1,21,25,84,13,31,44,20,11,8,7,20
MEM,W,240,114,41,76,53.9,14,30,46.7,18,24,75,6,38,44,22,11,8,16,21
UTA,W,240,104,38,82,46.3,10,31,32.3,18,21,85.7,5,38,43,24,12,4,11,24
PHI,W,240,107,45,93,48.4,8,24,33.3,9,10,90,7,34,41,34,6,3,13,25
MIA,W,241,117,45,88,51.1,12,24,50,15,18,83.3,11,29,40,24,6,2,8,17
ATL,W,241,104,40,89,44.9,14,30,46.7,10,15,66.7,13,32,45,29,12,3,13,16
NYK,W,241,105,41,94,43.6,5,19,26.3,18,21,85.7,9,42,51,24,6,7,6,24
DET,W,238,93,36,81,44.4,8,24,33.3,13,16,81.3,6,39,45,22,10,1,11,11
GSW,W,240,141,50,85,58.8,18,33,54.5,23,25,92,7,31,38,37,3,6,10,17
MIL,W,239,97,40,85,47.1,9,29,31,8,17,47.1,12,31,43,26,9,7,9,23
PHX,W,240,111,41,85,48.2,13,30,43.3,16,24,66.7,16,31,47,26,5,5,10,19
WAS,W,241,121,47,88,53.4,18,36,50,9,12,75,10,35,45,23,12,5,16,15
LAC,W,240,121,42,86,48.8,9,32,28.1,28,34,82.4,15,34,49,23,7,6,13,21
DAL,W,241,128,46,83,55.4,22,39,56.4,14,18,77.8,5,38,43,27,5,4,15,23
CHA,W,240,111,41,89,46.1,6,20,30,23,34,67.6,13,34,47,27,12,6,10,10
TOR,W,240,111,46,105,43.8,13,37,35.1,6,8,75,19,32,51,22,9,15,11,22
BKN,W,240,111,39,79,49.4,11,26,42.3,22,25,88,8,46,54,25,8,4,18,23
CHI,W,240,119,43,85,50.6,18,39,46.2,15,15,100,7,33,40,31,6,4,15,20
SAS,W,240,119,41,80,51.3,9,20,45,28,39,71.8,10,33,43,28,2,4,9,18
MIL,W,239,102,41,75,54.7,5,15,33.3,15,16,93.8,7,29,36,23,10,0,16,18
ORL,W,240,102,37,82,45.1,11,26,42.3,17,17,100,9,39,48,22,10,3,18,17
BOS,W,239,99,37,82,45.1,8,29,27.6,17,24,70.8,10,34,44,18,9,8,16,22
POR,W,240,114,35,75,46.7,8,24,33.3,36,47,76.6,8,39,47,15,7,3,15,18
CHI,W,240,92,35,86,40.7,10,28,35.7,12,16,75,4,46,50,23,9,3,15,15
DAL,W,240,98,40,78,51.3,8,29,27.6,10,15,66.7,4,31,35,26,7,3,9,12
ATL,W,241,113,41,94,43.6,11,37,29.7,20,29,69,16,37,53,28,7,7,11,21
MIN,W,264,128,47,90,52.2,12,29,41.4,22,30,73.3,7,35,42,27,4,7,6,26
BOS,W,240,102,37,78,47.4,15,34,44.1,13,13,100,6,37,43,20,4,7,15,20
MEM,W,240,109,35,71,49.3,5,21,23.8,34,39,87.2,5,32,37,20,3,9,10,20
NOP,W,239,128,48,90,53.3,17,33,51.5,15,19,78.9,6,37,43,40,8,9,10,15
OKC,W,240,124,46,87,52.9,9,25,36,23,33,69.7,15,37,52,25,9,7,12,26
SAC,W,242,109,41,79,51.9,12,30,40,15,18,83.3,7,33,40,25,8,6,11,19
GSW,W,239,126,51,86,59.3,11,23,47.8,13,17,76.5,4,46,50,37,8,7,16,18
PHX,W,240,99,32,72,44.4,8,22,36.4,27,35,77.1,6,35,41,24,5,5,19,29
MIA,W,241,107,41,91,45.1,11,33,33.3,14,17,82.4,16,37,53,22,11,5,15,20
DET,W,240,107,41,82,50,12,34,35.3,13,16,81.3,10,36,46,26,5,1,10,17
DEN,W,242,107,39,81,48.1,11,30,36.7,18,22,81.8,10,43,53,23,3,1,9,21
CHI,W,241,115,45,103,43.7,10,28,35.7,15,25,60,15,32,47,26,11,3,6,19
DAL,W,241,98,40,94,42.6,6,24,25,12,16,75,16,40,56,20,5,11,13,24
LAC,W,241,122,44,81,54.3,13,31,41.9,21,27,77.8,9,40,49,31,7,8,13,13
SAS,W,240,109,41,80,51.3,7,16,43.8,20,24,83.3,5,38,43,18,7,5,12,14
PHI,W,239,105,35,82,42.7,10,28,35.7,25,30,83.3,12,36,48,21,7,7,15,22
OKC,W,240,112,43,79,54.4,8,18,44.4,18,23,78.3,9,31,40,21,9,10,14,20
GSW,W,240,99,38,82,46.3,10,37,27,13,17,76.5,10,37,47,28,7,7,15,18
MIN,W,240,121,49,84,58.3,11,32,34.4,12,14,85.7,7,35,42,30,9,4,15,13
WAS,W,241,111,43,93,46.2,6,26,23.1,19,28,67.9,14,33,47,26,6,4,8,17
BOS,W,240,117,44,92,47.8,12,32,37.5,17,21,81,8,38,46,29,9,5,5,18
TOR,W,242,102,35,85,41.2,9,27,33.3,23,26,88.5,7,36,43,18,15,6,17,20
WAS,W,239,130,47,86,54.7,16,30,53.3,20,23,87,12,37,49,29,5,2,16,18
OKC,W,239,103,39,88,44.3,12,29,41.4,13,16,81.3,15,30,45,18,9,5,7,16
DEN,W,240,96,38,82,46.3,7,28,25,13,15,86.7,10,35,45,25,10,4,18,14
MIN,W,240,115,42,84,50,6,16,37.5,25,29,86.2,13,34,47,18,6,6,14,21
NOP,W,241,109,39,73,53.4,15,25,60,16,19,84.2,6,31,37,27,5,10,14,20
IND,W,264,123,47,90,52.2,10,23,43.5,19,24,79.2,7,34,41,31,8,9,8,25
SAS,W,241,108,44,88,50,11,23,47.8,9,11,81.8,7,37,44,29,3,1,8,11
CHA,W,240,111,36,74,48.6,9,21,42.9,30,40,75,9,34,43,22,2,7,16,20
ATL,W,242,112,42,75,56,10,24,41.7,18,22,81.8,6,32,38,29,5,2,15,19
POR,W,241,95,39,95,41.1,10,25,40,7,14,50,9,38,47,19,7,8,11,15
MEM,W,239,115,40,90,44.4,13,31,41.9,22,25,88,15,32,47,28,5,5,9,26
OKC,W,241,120,44,82,53.7,13,25,52,19,31,61.3,15,25,40,24,11,5,19,18
MIA,W,240,113,46,72,63.9,16,25,64,5,6,83.3,2,33,35,25,3,3,11,15
MIL,W,239,109,41,87,47.1,8,29,27.6,19,23,82.6,6,37,43,27,7,5,7,16
DET,W,240,104,38,88,43.2,10,25,40,18,25,72,15,29,44,19,8,5,11,11
GSW,W,241,113,42,85,49.4,7,24,29.2,22,27,81.5,10,32,42,24,9,13,15,17
LAC,W,240,128,43,91,47.3,18,42,42.9,24,31,77.4,9,29,38,24,8,5,8,25
NOP,W,240,111,43,86,50,10,30,33.3,15,24,62.5,11,37,48,23,10,2,15,25
DEN,W,241,102,42,85,49.4,7,25,28,11,15,73.3,16,33,49,19,4,10,14,13
BKN,W,241,119,44,88,50,14,41,34.1,17,21,81,13,47,60,29,4,4,14,17
CLE,W,239,115,42,82,51.2,12,29,41.4,19,22,86.4,7,28,35,25,10,3,12,14
PHX,W,240,97,33,81,40.7,10,26,38.5,21,27,77.8,12,32,44,21,4,1,10,17
TOR,W,239,114,35,85,41.2,12,35,34.3,32,35,91.4,19,26,45,18,14,6,21,19
NYK,W,240,102,36,79,45.6,8,14,57.1,22,26,84.6,11,38,49,13,8,3,17,20
UTA,W,240,100,34,74,45.9,12,26,46.2,20,24,83.3,5,36,41,18,7,4,12,18
MIN,W,240,112,43,87,49.4,8,24,33.3,18,19,94.7,8,29,37,28,12,2,8,20
GSW,W,240,97,34,74,45.9,7,21,33.3,22,25,88,14,30,44,26,9,8,16,19
MIA,W,241,90,33,75,44,10,28,35.7,14,25,56,6,40,46,23,6,3,12,16
SAC,W,238,104,40,82,48.8,7,19,36.8,17,20,85,13,35,48,14,4,4,12,19
LAL,W,239,122,40,85,47.1,15,35,42.9,27,43,62.8,10,37,47,27,8,5,10,25
DAL,W,239,110,40,75,53.3,14,30,46.7,16,20,80,4,33,37,22,6,7,12,17
LAC,W,239,108,41,87,47.1,10,30,33.3,16,24,66.7,9,41,50,22,1,4,9,19
SAS,W,238,93,41,79,51.9,6,17,35.3,5,6,83.3,9,44,53,17,7,9,23,16
TOR,W,240,129,49,91,53.8,16,33,48.5,15,18,83.3,10,33,43,35,6,7,14,27
OKC,W,240,107,40,77,51.9,8,23,34.8,19,22,86.4,8,34,42,23,15,5,13,26
IND,W,240,105,40,82,48.8,7,21,33.3,18,19,94.7,8,29,37,19,5,5,9,18
CHI,W,240,112,44,87,50.6,11,32,34.4,13,14,92.9,9,42,51,31,6,8,11,23
WAS,W,240,116,46,92,50,14,35,40,10,14,71.4,10,34,44,29,8,3,16,31
SAC,W,239,101,41,91,45.1,7,27,25.9,12,23,52.2,9,30,39,21,11,6,12,20
MIL,W,241,119,43,82,52.4,11,29,37.9,22,27,81.5,8,32,40,27,12,3,14,18
GSW,W,266,116,43,107,40.2,11,34,32.4,19,21,90.5,15,46,61,25,6,10,14,26
BOS,W,240,112,44,79,55.7,16,26,61.5,8,14,57.1,6,32,38,26,6,4,19,31
PHX,W,241,97,35,79,44.3,10,25,40,17,22,77.3,7,42,49,17,9,6,18,25
ATL,W,241,110,38,83,45.8,8,22,36.4,26,31,83.9,10,29,39,25,8,6,12,23
MIN,W,240,108,42,91,46.2,7,19,36.8,17,21,81,11,21,32,19,6,2,10,14
CHI,W,240,117,44,92,47.8,13,28,46.4,16,19,84.2,5,34,39,27,9,7,15,16
CHA,W,240,109,43,88,48.9,9,20,45,14,16,87.5,12,35,47,30,10,6,19,16
OKC,W,241,95,39,81,48.1,7,24,29.2,10,15,66.7,6,34,40,13,9,5,10,13
SAS,W,240,109,40,82,48.8,9,24,37.5,20,25,80,8,37,45,22,7,4,16,19
HOU,W,241,120,40,77,51.9,17,43,39.5,23,27,85.2,12,40,52,25,5,7,14,13
DET,W,240,114,42,89,47.2,17,34,50,13,16,81.3,7,32,39,27,11,3,13,17
IND,W,240,109,43,76,56.6,8,18,44.4,15,19,78.9,6,37,43,21,6,7,15,20
TOR,W,241,108,36,85,42.4,13,30,43.3,23,28,82.1,12,34,46,20,8,9,12,13
CLE,W,239,106,41,87,47.1,14,34,41.2,10,12,83.3,4,38,42,24,6,4,8,16
MIA,W,239,90,31,82,37.8,12,35,34.3,16,21,76.2,9,28,37,22,10,8,8,15
SAS,W,241,98,39,86,45.3,5,25,20,15,18,83.3,9,32,41,14,5,2,7,14
POR,W,240,93,37,79,46.8,10,24,41.7,9,18,50,5,42,47,19,2,3,20,21
NYK,W,241,111,38,69,55.1,14,23,60.9,21,26,80.8,6,29,35,21,9,3,13,22
PHX,W,241,108,33,72,45.8,11,24,45.8,31,35,88.6,13,39,52,22,4,3,23,21
HOU,W,240,115,35,76,46.1,11,35,31.4,34,42,81,4,34,38,16,7,4,15,23
CLE,W,240,109,42,79,53.2,10,22,45.5,15,17,88.2,8,33,41,30,9,1,12,15
BOS,W,238,102,39,80,48.8,14,30,46.7,10,14,71.4,14,28,42,21,6,6,16,19
MIA,W,240,104,39,78,50,11,31,35.5,15,17,88.2,5,35,40,25,10,8,16,23
POR,W,241,95,37,86,43,8,18,44.4,13,15,86.7,6,39,45,18,7,9,14,20
UTA,W,240,107,40,83,48.2,13,25,52,14,18,77.8,9,46,55,19,6,2,15,20
CHI,W,239,115,42,86,48.8,8,22,36.4,23,35,65.7,14,36,50,24,8,0,12,26
DET,W,240,104,39,93,41.9,13,32,40.6,13,17,76.5,11,33,44,22,7,10,9,22
TOR,W,240,120,54,97,55.7,7,28,25,5,9,55.6,11,34,45,26,11,5,8,16
OKC,W,316,119,47,113,41.6,15,35,42.9,10,19,52.6,18,42,60,28,10,5,18,21
MEM,W,240,96,36,78,46.2,12,25,48,12,17,70.6,10,33,43,21,12,6,21,24
DEN,W,266,117,46,100,46,16,36,44.4,9,14,64.3,11,37,48,30,12,4,15,17
WAS,W,241,100,39,88,44.3,7,31,22.6,15,23,65.2,11,39,50,21,12,7,19,26
HOU,W,239,124,43,91,47.3,18,50,36,20,25,80,12,33,45,20,15,3,13,16
DET,W,240,105,41,90,45.6,13,30,43.3,10,12,83.3,14,32,46,26,10,3,15,23
GSW,W,242,112,47,78,60.3,11,22,50,7,9,77.8,4,37,41,35,7,4,16,22
CLE,W,241,121,43,86,50,15,36,41.7,20,25,80,8,31,39,32,10,5,14,16
MIN,W,241,119,46,82,56.1,10,21,47.6,17,20,85,8,31,39,29,12,9,9,19
NYK,W,238,111,41,89,46.1,10,20,50,19,22,86.4,12,28,40,23,11,4,13,23
BOS,W,241,124,47,79,59.5,11,25,44,19,24,79.2,4,26,30,29,10,7,13,20
POR,W,237,102,36,72,50,10,28,35.7,20,23,87,5,28,33,14,7,2,11,21
OKC,W,240,100,36,88,40.9,13,29,44.8,15,24,62.5,17,35,52,26,10,6,13,12
TOR,W,239,115,40,92,43.5,9,26,34.6,26,31,83.9,8,37,45,16,7,3,6,25
HOU,W,238,108,39,88,44.3,17,45,37.8,13,19,68.4,6,39,45,24,7,5,10,18
NOP,W,240,115,45,80,56.3,13,25,52,12,15,80,9,32,41,35,5,8,21,16
CHI,W,239,103,41,93,44.1,7,17,41.2,14,21,66.7,9,37,46,21,9,3,9,14
WAS,W,239,93,36,77,46.8,9,22,40.9,12,24,50,6,38,44,21,7,8,15,22
LAC,W,239,106,39,88,44.3,12,26,46.2,16,20,80,6,45,51,25,10,6,8,19
DAL,W,239,95,38,89,42.7,9,24,37.5,10,12,83.3,8,41,49,17,8,2,6,19
BKN,W,240,103,34,84,40.5,10,43,23.3,25,33,75.8,9,44,53,26,4,6,14,21
CLE,W,242,123,48,86,55.8,20,38,52.6,7,10,70,6,31,37,35,5,2,13,18
DEN,W,240,103,40,79,50.6,10,30,33.3,13,14,92.9,6,38,44,27,8,3,17,15
NYK,W,265,113,48,101,47.5,9,22,40.9,8,11,72.7,15,34,49,25,7,7,14,16
PHI,W,265,118,40,80,50,11,26,42.3,27,32,84.4,7,45,52,32,6,3,24,18
SAC,W,240,99,38,89,42.7,7,22,31.8,16,22,72.7,11,34,45,21,9,3,9,18
HOU,W,241,130,48,88,54.5,17,45,37.8,17,25,68,4,32,36,30,12,7,9,15
CHA,W,240,116,43,81,53.1,13,25,52,17,24,70.8,9,32,41,22,7,4,12,20
CHI,W,241,108,39,81,48.1,12,29,41.4,18,25,72,10,36,46,23,9,3,8,18
LAC,W,242,96,34,92,37,8,36,22.2,20,24,83.3,14,43,57,18,6,7,12,20
GSW,W,241,111,44,80,55,10,20,50,13,17,76.5,6,36,42,26,5,9,14,16
MIA,W,241,107,37,66,56.1,14,27,51.9,19,24,79.2,2,33,35,24,8,8,13,22
TOR,W,240,102,39,87,44.8,11,37,29.7,13,19,68.4,12,32,44,22,8,2,13,17
NYK,W,239,111,39,80,48.8,5,17,29.4,28,34,82.4,6,27,33,16,9,4,12,30
NOP,W,238,131,46,80,57.5,15,24,62.5,24,32,75,5,28,33,31,11,9,14,21
IND,W,265,126,49,93,52.7,10,25,40,18,22,81.8,11,29,40,24,6,2,11,17
MIN,W,241,97,36,72,50,7,19,36.8,18,23,78.3,9,36,45,19,7,2,18,19
BOS,W,242,91,33,79,41.8,11,30,36.7,14,18,77.8,9,41,50,16,4,4,13,18
LAC,W,240,113,39,80,48.8,14,32,43.8,21,24,87.5,4,29,33,22,8,4,10,19
ATL,W,240,117,41,80,51.3,17,33,51.5,18,25,72,9,31,40,33,7,6,12,13
CHI,W,242,104,42,82,51.2,7,25,28,13,23,56.5,8,32,40,28,10,7,14,19
LAL,W,239,110,43,85,50.6,9,27,33.3,15,21,71.4,6,40,46,24,7,5,14,21
CLE,W,240,105,36,75,48,14,29,48.3,19,25,76,6,27,33,26,12,2,17,16
HOU,W,240,124,40,75,53.3,10,25,40,34,42,81,7,28,35,14,13,2,12,17
MIA,W,239,101,42,90,46.7,8,27,29.6,9,14,64.3,8,36,44,15,6,8,5,17
MIL,W,240,117,44,81,54.3,7,17,41.2,22,26,84.6,8,33,41,22,8,6,11,29
OKC,W,267,102,36,92,39.1,12,34,35.3,18,31,58.1,17,30,47,18,7,5,10,21
SAS,W,240,104,40,87,46,6,19,31.6,18,25,72,18,34,52,18,5,6,15,23
SAC,W,263,116,47,97,48.5,13,30,43.3,9,14,64.3,11,35,46,21,12,4,17,21
GSW,W,241,102,39,81,48.1,7,26,26.9,17,22,77.3,5,40,45,29,5,15,14,19
DEN,W,240,103,42,85,49.4,6,21,28.6,13,16,81.3,6,38,44,21,7,7,12,20
TOR,W,241,116,37,78,47.4,13,31,41.9,29,33,87.9,10,26,36,21,8,3,11,23
SAS,W,239,105,38,81,46.9,8,27,29.6,21,24,87.5,14,32,46,16,6,3,13,14
MIL,W,240,109,36,79,45.6,8,24,33.3,29,34,85.3,7,33,40,20,10,6,10,24
CHI,W,266,119,48,99,48.5,6,18,33.3,17,22,77.3,6,50,56,23,5,7,14,28
IND,W,239,106,38,86,44.2,15,39,38.5,15,24,62.5,12,37,49,21,7,3,8,19
WAS,W,240,109,41,81,50.6,8,21,38.1,19,25,76,8,30,38,25,6,4,10,23
BKN,W,239,100,35,80,43.8,11,37,29.7,19,30,63.3,7,42,49,24,3,7,13,21
HOU,W,239,112,38,81,46.9,18,42,42.9,18,24,75,8,38,46,22,10,5,17,25
LAL,W,239,107,42,96,43.8,11,28,39.3,12,24,50,15,29,44,22,13,7,11,23
NYK,W,241,99,35,67,52.2,9,14,64.3,20,27,74.1,10,32,42,22,8,3,16,21
MIN,W,240,113,45,82,54.9,7,19,36.8,16,21,76.2,8,38,46,29,4,7,15,17
IND,W,241,98,39,87,44.8,12,34,35.3,8,10,80,7,32,39,21,7,5,13,14
